                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 25.896,                      0,                      0,                      0,                      0,                      0,                      0,                 36.188,                      0,                  6e-05,                  6e-05,                  6e-05
                      2,                      0,                 25.893,                      0,                      0,                      0,                      0,                      0,                      0,                 36.188,                      0,             0.00013931,             0.00013931,             0.00013931
                      3,                      0,                 25.808,                      0,                      0,                      0,                      0,                      0,                      0,                 36.188,                      0,             0.00021782,             0.00021782,             0.00021782
                      4,                      0,                 25.511,                      0,                      0,                      0,                      0,                      0,                      0,                 36.188,                      0,             0.00029554,             0.00029554,             0.00029554
                      5,                      0,                 25.226,                      0,                      0,                      0,                      0,                      0,                      0,                 36.188,                      0,             0.00037248,             0.00037248,             0.00037248
                      6,                      0,                 24.922,                      0,                      0,                      0,                      0,                      0,                      0,                 36.188,                      0,             0.00044862,             0.00044862,             0.00044862
                      7,                      0,                 24.638,                      0,                      0,                      0,                      0,                      0,                      0,                 36.188,                      0,             0.00052396,             0.00052396,             0.00052396
                      8,                      0,                 24.392,                      0,                      0,                      0,                      0,                      0,                      0,                 36.188,                      0,             0.00059852,             0.00059852,             0.00059852
                      9,                      0,                 24.195,                      0,                      0,                      0,                      0,                      0,                      0,                 36.188,                      0,             0.00067228,             0.00067228,             0.00067228
                     10,                      0,                 23.824,                      0,                      0,                      0,                      0,                      0,                      0,                 36.188,                      0,             0.00074525,             0.00074525,             0.00074525
                     11,                      0,                 23.579,                      0,                      0,                      0,                      0,                      0,                      0,                 36.188,                      0,             0.00081743,             0.00081743,             0.00081743
                     12,                      0,                 23.315,                      0,                      0,                      0,                      0,                      0,                      0,                 36.188,                      0,             0.00088882,             0.00088882,             0.00088882
                     13,                      0,                 23.032,                      0,                      0,                      0,                      0,                      0,                      0,                 36.188,                      0,             0.00095941,             0.00095941,             0.00095941
                     14,                      0,                 22.682,                      0,                      0,                      0,                      0,                      0,                      0,                 36.188,                      0,              0.0010292,              0.0010292,              0.0010292
                     15,                      0,                 22.656,                      0,                      0,                      0,                      0,                      0,                      0,                 36.188,                      0,              0.0010982,              0.0010982,              0.0010982
                     16,                      0,                 22.028,                      0,                      0,                      0,                      0,                      0,                      0,                 36.188,                      0,              0.0011664,              0.0011664,              0.0011664
                     17,                      0,                 21.982,                      0,                      0,                      0,                      0,                      0,                      0,                 36.188,                      0,              0.0012339,              0.0012339,              0.0012339
                     18,                      0,                 21.979,                      0,                      0,                      0,                      0,                      0,                      0,                 35.938,                      0,              0.0013005,              0.0013005,              0.0013005
                     19,                      0,                 21.194,                      0,                      0,                      0,                      0,                      0,                      0,                 35.938,                      0,              0.0013664,              0.0013664,              0.0013664
                     20,                      0,                 21.181,                      0,                      0,                      0,                      0,                      0,                      0,                 35.938,                      0,              0.0014314,              0.0014314,              0.0014314
                     21,                      0,                 21.166,                      0,                      0,                      0,                      0,                      0,                      0,                 35.938,                      0,              0.0014957,              0.0014957,              0.0014957
                     22,                      0,                 20.796,                      0,                      0,                      0,                      0,                      0,                      0,                 35.625,                      0,              0.0015591,              0.0015591,              0.0015591
                     23,                      0,                 20.314,                      0,                      0,                      0,                      0,                      0,                      0,                 35.625,                      0,              0.0016218,              0.0016218,              0.0016218
                     24,                      0,                 20.265,                      0,                      0,                      0,                      0,                      0,                      0,                 35.625,                      0,              0.0016837,              0.0016837,              0.0016837
                     25,                      0,                  20.32,                      0,                      0,                      0,                      0,                      0,                      0,                 35.625,                      0,              0.0017448,              0.0017448,              0.0017448
                     26,                      0,                 19.916,                      0,                      0,                      0,                      0,                      0,                      0,                 33.938,                      0,              0.0017525,              0.0017525,              0.0017525
                     27,                      0,                 19.432,                      0,                      0,                      0,                      0,                      0,                      0,                 33.938,                      0,              0.0017426,              0.0017426,              0.0017426
                     28,                      0,                 19.437,                      0,                      0,                      0,                      0,                      0,                      0,                 33.938,                      0,              0.0017327,              0.0017327,              0.0017327
                     29,                      0,                 19.428,                      0,                      0,                      0,                      0,                      0,                      0,                 33.938,                      0,              0.0017228,              0.0017228,              0.0017228
                     30,                      0,                 19.006,                      0,                      0,                      0,                      0,                      0,                      0,                 32.062,                      0,              0.0017129,              0.0017129,              0.0017129
                     31,                      0,                 18.522,                      0,                      0,                      0,                      0,                      0,                      0,                 32.062,                      0,               0.001703,               0.001703,               0.001703
                     32,                      0,                 18.522,                      0,                      0,                      0,                      0,                      0,                      0,                 32.062,                      0,              0.0016931,              0.0016931,              0.0016931
                     33,                      0,                 18.546,                      0,                      0,                      0,                      0,                      0,                      0,                 32.062,                      0,              0.0016832,              0.0016832,              0.0016832
                     34,                      0,                 18.179,                      0,                      0,                      0,                      0,                      0,                      0,                 27.516,                      0,              0.0016733,              0.0016733,              0.0016733
                     35,                      0,                 17.741,                      0,                      0,                      0,                      0,                      0,                      0,                 27.516,                      0,              0.0016634,              0.0016634,              0.0016634
                     36,                      0,                 17.754,                      0,                      0,                      0,                      0,                      0,                      0,                 27.516,                      0,              0.0016535,              0.0016535,              0.0016535
                     37,                      0,                 17.768,                      0,                      0,                      0,                      0,                      0,                      0,                 27.516,                      0,              0.0016436,              0.0016436,              0.0016436
                     38,                      0,                 17.385,                      0,                      0,                      0,                      0,                      0,                      0,                 20.594,                      0,              0.0016337,              0.0016337,              0.0016337
                     39,                      0,                 16.998,                      0,                      0,                      0,                      0,                      0,                      0,                 20.594,                      0,              0.0016238,              0.0016238,              0.0016238
                     40,                      0,                 16.979,                      0,                      0,                      0,                      0,                      0,                      0,                 20.594,                      0,              0.0016139,              0.0016139,              0.0016139
                     41,                      0,                 17.001,                      0,                      0,                      0,                      0,                      0,                      0,                 20.594,                      0,               0.001604,               0.001604,               0.001604
